clip_identifier	duration	match_id	round	prompt_id	game_type	correct_word/image	distractors	prompt_status	prompt_num
0d9yi1we_r02_s1_p000	14	0d9yi1we	r02	taboo_en_p0475	word	David (Michelangelo)	['Renaissance', 'Marble', 'Florence', 'Italy', 'Masterpiece']	skip	0
0d9yi1we_r02_s1_p001	87	0d9yi1we	r02	taboo_en_p0085	word	Laughter	['Funny', 'Humorous', 'Smile', 'Joke', 'Burst']	win	1
0d9yi1we_r02_s1_p002	158	0d9yi1we	r02	taboo_en_p2050	word	Captain America	['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']	win	2
0d9yi1we_r03_s1_p000	58	0d9yi1we	r03	taboo_en_p2504	word	Science Fiction	['Future', 'Imaginary', 'Advancements', 'Time', 'Travel']	win	0
0d9yi1we_r03_s1_p001	32	0d9yi1we	r03	taboo_en_p0137	word	Lie	['Untrue', 'White', 'Truth', 'Trust', 'Tell']	win	1
0d9yi1we_r03_s1_p002	22	0d9yi1we	r03	taboo_en_p2441	word	Pineapple	['Fruit', 'Yellow', 'Hawaii', 'Tropical', 'Pizza']	loss	2
0d9yi1we_r03_s1_p003	26	0d9yi1we	r03	taboo_en_p0382	word	Christopher Columbus	['America', 'Explorer', 'Discover', 'Ship', 'Navigator']	skip	3
0d9yi1we_r03_s1_p004	16	0d9yi1we	r03	taboo_en_p1251	word	Moon	['Space', 'Full', 'Night', 'Half', 'Sky']	win	4
0d9yi1we_r03_s1_p005	116	0d9yi1we	r03	taboo_en_p2250	word	Infinity	['Forever', 'Unlimited', 'Continuous', 'Eternal', 'Limitless']	skip	5
0iozllt3_r03_s1_p000	29	0iozllt3	r03	taboo_en_p0730	word	Death	['Kill', 'End', 'Die', 'Mortuary', 'Suicide']	win	0
0iozllt3_r03_s1_p001	36	0iozllt3	r03	taboo_en_p2225	word	Harvard University	['Private', 'College', 'Prestige', 'Institution', 'Massachussetts']	win	1
0iozllt3_r03_s1_p002	89	0iozllt3	r03	taboo_en_p0468	word	British Museum	['London', 'Art', 'England', 'History', 'Building']	win	2
0iozllt3_r03_s1_p003	28	0iozllt3	r03	taboo_en_p1953	word	Aluminium	['Metal', 'Foil', 'Wrap', 'Chemical', 'Element']	win	3
0iozllt3_r03_s1_p004	29	0iozllt3	r03	taboo_en_p2087	word	Coldplay	['Band', 'British', 'Music', 'Rock', 'Concert']	win	4
0iozllt3_r03_s1_p005	30	0iozllt3	r03	taboo_en_p0109	word	Flag	['Flap', 'Country', 'Pole', 'Fabric', 'Simbol']	loss	5
