clip_identifier	duration	match_id	round	prompt_id	game_type	correct_word/image	distractors	prompt_status	prompt_num
03hxmcfy_r00_s1_p000	33	03hxmcfy	r00	image_p31023	image	/dogs/boxer/n02108089_1619.jpg	['/dogs/boxer/n02108089_13898.jpg', '/dogs/boxer/n02108089_4865.jpg', '/dogs/boxer/n02108089_14074.jpg', '/dogs/boxer/n02108089_3028.jpg', '/dogs/boxer/n02108089_1912.jpg', '/dogs/boxer/n02108089_1654.jpg', '/dogs/boxer/n02108089_5614.jpg', '/dogs/boxer/n02108089_2718.jpg', '/dogs/boxer/n02108089_5753.jpg', '/dogs/boxer/n02108089_3365.jpg', '/dogs/boxer/n02108089_2791.jpg']	win	0
03hxmcfy_r00_s1_p001	36	03hxmcfy	r00	image_p33538	image	/dogs/Italian_greyhound/n02091032_6345.jpg	['/dogs/Italian_greyhound/n02091032_10688.jpg', '/dogs/Italian_greyhound/n02091032_1636.jpg', '/dogs/Italian_greyhound/n02091032_4012.jpg', '/dogs/Italian_greyhound/n02091032_1400.jpg', '/dogs/Italian_greyhound/n02091032_4970.jpg', '/dogs/Italian_greyhound/n02091032_5638.jpg', '/dogs/Italian_greyhound/n02091032_2687.jpg', '/dogs/Italian_greyhound/n02091032_10507.jpg', '/dogs/Italian_greyhound/n02091032_1071.jpg', '/dogs/Italian_greyhound/n02091032_1358.jpg', '/dogs/Italian_greyhound/n02091032_9131.jpg']	win	1
03hxmcfy_r00_s1_p002	25	03hxmcfy	r00	image_p27844	image	/birds/Northern_Flicker/Northern_Flicker_0078_28338.jpg	['/birds/Northern_Flicker/Northern_Flicker_0034_28740.jpg', '/birds/Northern_Flicker/Northern_Flicker_0041_28697.jpg', '/birds/Northern_Flicker/Northern_Flicker_0044_28592.jpg', '/birds/Northern_Flicker/Northern_Flicker_0085_28378.jpg', '/birds/Northern_Flicker/Northern_Flicker_0068_28330.jpg', '/birds/Northern_Flicker/Northern_Flicker_0053_28445.jpg', '/birds/Northern_Flicker/Northern_Flicker_0016_28603.jpg', '/birds/Northern_Flicker/Northern_Flicker_0045_28805.jpg', '/birds/Northern_Flicker/Northern_Flicker_0021_28741.jpg', '/birds/Northern_Flicker/Northern_Flicker_0118_28500.jpg', '/birds/Northern_Flicker/Northern_Flicker_0138_28476.jpg']	win	2
03hxmcfy_r00_s1_p003	22	03hxmcfy	r00	image_p9957	image	/dogs/Greater_Swiss_Mountain_dog/n02107574_3274.jpg	['/dogs/Greater_Swiss_Mountain_dog/n02107574_2960.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_1118.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_169.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_1315.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_1920.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_2998.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_581.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_1387.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_2386.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_2994.jpg', '/dogs/Greater_Swiss_Mountain_dog/n02107574_534.jpg']	win	3
03hxmcfy_r00_s1_p004	13	03hxmcfy	r00	image_p19587	image	/birds/Brown_Creeper/Brown_Creeper_0005_24659.jpg	['/birds/Brown_Creeper/Brown_Creeper_0027_24729.jpg', '/birds/Brown_Creeper/Brown_Creeper_0124_24963.jpg', '/birds/Brown_Creeper/Brown_Creeper_0103_24632.jpg', '/birds/Brown_Creeper/Brown_Creeper_0059_25010.jpg', '/birds/Brown_Creeper/Brown_Creeper_0083_24967.jpg', '/birds/Brown_Creeper/Brown_Creeper_0093_24581.jpg', '/birds/Brown_Creeper/Brown_Creeper_0046_24463.jpg', '/birds/Brown_Creeper/Brown_Creeper_0057_24529.jpg', '/birds/Brown_Creeper/Brown_Creeper_0100_24502.jpg', '/birds/Brown_Creeper/Brown_Creeper_0069_24618.jpg', '/birds/Brown_Creeper/Brown_Creeper_0114_24649.jpg']	win	4
03hxmcfy_r00_s1_p005	23	03hxmcfy	r00	image_p22525	image	/ifood/compote/train_001004.jpg	['/ifood/compote/train_000548.jpg', '/ifood/compote/train_000956.jpg', '/ifood/compote/train_000544.jpg', '/ifood/compote/train_001073.jpg', '/ifood/compote/train_000873.jpg', '/ifood/compote/train_000584.jpg', '/ifood/compote/train_000813.jpg', '/ifood/compote/train_001006.jpg', '/ifood/compote/train_001033.jpg', '/ifood/compote/train_000952.jpg', '/ifood/compote/train_001051.jpg']	win	5
03hxmcfy_r00_s1_p006	18	03hxmcfy	r00	image_p48028	image	/dogs/cats/cat00030.jpeg	['/dogs/cats/cat00008.jpeg', '/dogs/cats/cat00014.jpeg', '/dogs/cats/cat00007.jpeg', '/dogs/cats/cat00029.jpeg', '/dogs/cats/cat00021.jpeg', '/dogs/cats/cat00020.jpeg', '/dogs/cats/cat00024.jpeg', '/dogs/cats/cat00016.jpeg', '/dogs/cats/cat00006.jpeg', '/dogs/cats/cat00001.jpeg', '/dogs/cats/cat00025.jpeg']	win	6
03hxmcfy_r00_s1_p007	19	03hxmcfy	r00	image_p45182	image	/ifood/upside_down_cake/train_113681.jpg	['/ifood/upside_down_cake/train_113553.jpg', '/ifood/upside_down_cake/train_113860.jpg', '/ifood/upside_down_cake/train_113432.jpg', '/ifood/upside_down_cake/train_113895.jpg', '/ifood/upside_down_cake/train_113574.jpg', '/ifood/upside_down_cake/train_113603.jpg', '/ifood/upside_down_cake/train_113572.jpg', '/ifood/upside_down_cake/train_113627.jpg', '/ifood/upside_down_cake/train_113766.jpg', '/ifood/upside_down_cake/train_113688.jpg', '/ifood/upside_down_cake/train_113500.jpg']	win	7
03hxmcfy_r00_s1_p008	24	03hxmcfy	r00	image_p34523	image	/dogs/Italian_greyhound/n02091032_11843.jpg	['/dogs/Italian_greyhound/n02091032_2687.jpg', '/dogs/Italian_greyhound/n02091032_6345.jpg', '/dogs/Italian_greyhound/n02091032_8244.jpg', '/dogs/Italian_greyhound/n02091032_1783.jpg', '/dogs/Italian_greyhound/n02091032_1933.jpg', '/dogs/Italian_greyhound/n02091032_36.jpg', '/dogs/Italian_greyhound/n02091032_7813.jpg', '/dogs/Italian_greyhound/n02091032_1743.jpg', '/dogs/Italian_greyhound/n02091032_8298.jpg', '/dogs/Italian_greyhound/n02091032_334.jpg', '/dogs/Italian_greyhound/n02091032_636.jpg']	win	8
03hxmcfy_r00_s1_p009	30	03hxmcfy	r00	image_p19055	image	/birds/Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg	['/birds/Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg']	win	9
03hxmcfy_r00_s1_p010	13	03hxmcfy	r00	image_p30802	image	/dogs/German_shepherd/n02106662_24786.jpg	['/dogs/German_shepherd/n02106662_16163.jpg', '/dogs/German_shepherd/n02106662_4201.jpg', '/dogs/German_shepherd/n02106662_23691.jpg', '/dogs/German_shepherd/n02106662_20546.jpg', '/dogs/German_shepherd/n02106662_16149.jpg', '/dogs/German_shepherd/n02106662_10122.jpg', '/dogs/German_shepherd/n02106662_2924.jpg', '/dogs/German_shepherd/n02106662_248.jpg', '/dogs/German_shepherd/n02106662_9994.jpg', '/dogs/German_shepherd/n02106662_2659.jpg', '/dogs/German_shepherd/n02106662_9556.jpg']	win	10
03hxmcfy_r01_s1_p000	28	03hxmcfy	r01	image_p43024	image	/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0105_33663.jpg	['/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0096_33801.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0101_33611.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0097_33759.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0054_33633.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0011_34020.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0117_33576.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0087_33369.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0017_33480.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0055_33774.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0030_33615.jpg', '/birds/Boat_tailed_Grackle/Boat_Tailed_Grackle_0075_33839.jpg']	win	0
03hxmcfy_r01_s1_p001	17	03hxmcfy	r01	image_p3155	image	/dogs/Scotch_terrier/n02097298_3522.jpg	['/dogs/Scotch_terrier/n02097298_8322.jpg', '/dogs/Scotch_terrier/n02097298_8101.jpg', '/dogs/Scotch_terrier/n02097298_9677.jpg', '/dogs/Scotch_terrier/n02097298_200.jpg', '/dogs/Scotch_terrier/n02097298_8146.jpg', '/dogs/Scotch_terrier/n02097298_1152.jpg', '/dogs/Scotch_terrier/n02097298_2468.jpg', '/dogs/Scotch_terrier/n02097298_9721.jpg', '/dogs/Scotch_terrier/n02097298_16738.jpg', '/dogs/Scotch_terrier/n02097298_7517.jpg', '/dogs/Scotch_terrier/n02097298_4162.jpg']	win	1
03hxmcfy_r01_s1_p002	23	03hxmcfy	r01	image_p20714	image	/ifood/kedgeree/train_029746.jpg	['/ifood/kedgeree/train_029682.jpg', '/ifood/kedgeree/train_029798.jpg', '/ifood/kedgeree/train_029563.jpg', '/ifood/kedgeree/train_029781.jpg', '/ifood/kedgeree/train_029553.jpg', '/ifood/kedgeree/train_029829.jpg', '/ifood/kedgeree/train_029739.jpg', '/ifood/kedgeree/train_029628.jpg', '/ifood/kedgeree/train_029855.jpg', '/ifood/kedgeree/train_029809.jpg', '/ifood/kedgeree/train_029610.jpg']	win	2
03hxmcfy_r01_s1_p003	21	03hxmcfy	r01	image_p38247	image	/birds/Parakeet_Auklet/Parakeet_Auklet_0080_795965.jpg	['/birds/Parakeet_Auklet/Parakeet_Auklet_0050_795957.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0059_795973.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0039_795955.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg', '/birds/Parakeet_Auklet/Parakeet_Auklet_0008_795992.jpg']	win	3
03hxmcfy_r01_s1_p004	16	03hxmcfy	r01	image_p44254	image	/dogs/borzoi/n02090622_6976.jpg	['/dogs/borzoi/n02090622_6293.jpg', '/dogs/borzoi/n02090622_1086.jpg', '/dogs/borzoi/n02090622_7602.jpg', '/dogs/borzoi/n02090622_9374.jpg', '/dogs/borzoi/n02090622_2987.jpg', '/dogs/borzoi/n02090622_10343.jpg', '/dogs/borzoi/n02090622_5045.jpg', '/dogs/borzoi/n02090622_8674.jpg', '/dogs/borzoi/n02090622_6713.jpg', '/dogs/borzoi/n02090622_8057.jpg', '/dogs/borzoi/n02090622_7947.jpg']	win	4
03hxmcfy_r01_s1_p005	21	03hxmcfy	r01	image_p7320	image	/dogs/Labrador_retriever/n02099712_4428.jpg	['/dogs/Labrador_retriever/n02099712_5021.jpg', '/dogs/Labrador_retriever/n02099712_7749.jpg', '/dogs/Labrador_retriever/n02099712_5787.jpg', '/dogs/Labrador_retriever/n02099712_357.jpg', '/dogs/Labrador_retriever/n02099712_490.jpg', '/dogs/Labrador_retriever/n02099712_3769.jpg', '/dogs/Labrador_retriever/n02099712_4133.jpg', '/dogs/Labrador_retriever/n02099712_6232.jpg', '/dogs/Labrador_retriever/n02099712_1930.jpg', '/dogs/Labrador_retriever/n02099712_4550.jpg', '/dogs/Labrador_retriever/n02099712_3753.jpg']	win	5
03hxmcfy_r01_s1_p006	18	03hxmcfy	r01	image_p4083	image	/dogs/Irish_wolfhound/n02090721_943.jpg	['/dogs/Irish_wolfhound/n02090721_756.jpg', '/dogs/Irish_wolfhound/n02090721_2254.jpg', '/dogs/Irish_wolfhound/n02090721_4341.jpg', '/dogs/Irish_wolfhound/n02090721_4333.jpg', '/dogs/Irish_wolfhound/n02090721_3109.jpg', '/dogs/Irish_wolfhound/n02090721_1452.jpg', '/dogs/Irish_wolfhound/n02090721_363.jpg', '/dogs/Irish_wolfhound/n02090721_1131.jpg', '/dogs/Irish_wolfhound/n02090721_940.jpg', '/dogs/Irish_wolfhound/n02090721_1819.jpg', '/dogs/Irish_wolfhound/n02090721_708.jpg']	win	6
03hxmcfy_r01_s1_p007	17	03hxmcfy	r01	image_p31331	image	/dogs/Great_Pyrenees/n02111500_3306.jpg	['/dogs/Great_Pyrenees/n02111500_2081.jpg', '/dogs/Great_Pyrenees/n02111500_5546.jpg', '/dogs/Great_Pyrenees/n02111500_7380.jpg', '/dogs/Great_Pyrenees/n02111500_8915.jpg', '/dogs/Great_Pyrenees/n02111500_655.jpg', '/dogs/Great_Pyrenees/n02111500_882.jpg', '/dogs/Great_Pyrenees/n02111500_3560.jpg', '/dogs/Great_Pyrenees/n02111500_4320.jpg', '/dogs/Great_Pyrenees/n02111500_5750.jpg', '/dogs/Great_Pyrenees/n02111500_5137.jpg', '/dogs/Great_Pyrenees/n02111500_149.jpg']	win	7
03hxmcfy_r01_s1_p009	17	03hxmcfy	r01	image_p7751	image	/dogs/Great_Dane/n02109047_888.jpg	['/dogs/Great_Dane/n02109047_2851.jpg', '/dogs/Great_Dane/n02109047_12966.jpg', '/dogs/Great_Dane/n02109047_9396.jpg', '/dogs/Great_Dane/n02109047_11178.jpg', '/dogs/Great_Dane/n02109047_6093.jpg', '/dogs/Great_Dane/n02109047_2072.jpg', '/dogs/Great_Dane/n02109047_6061.jpg', '/dogs/Great_Dane/n02109047_10160.jpg', '/dogs/Great_Dane/n02109047_11472.jpg', '/dogs/Great_Dane/n02109047_24773.jpg', '/dogs/Great_Dane/n02109047_8139.jpg']	win	9
