match_id	round	describer	guesser
0d9yi1we	r02	participant_en_ng_032	participant_en_ng_021
0d9yi1we	r03	participant_en_ng_021	participant_en_ng_032
0iozllt3	r03	participant_en_ng_030	participant_en_ng_038
0k9nzctj	r00	participant_en_ng_025	participant_en_ng_024
0k9nzctj	r01	participant_en_ng_024	participant_en_ng_025
0k9nzctj	r02	participant_en_ng_025	participant_en_ng_024
0k9nzctj	r03	participant_en_ng_024	participant_en_ng_025
0k9nzctj	r04	participant_en_ng_025	participant_en_ng_024
0s6qjbse	r00	participant_en_ng_023	participant_en_ng_002
0s6qjbse	r01	participant_en_ng_002	participant_en_ng_023
0s6qjbse	r02	participant_en_ng_023	participant_en_ng_002
0s6qjbse	r03	participant_en_ng_002	participant_en_ng_023
0s6qjbse	r04	participant_en_ng_023	participant_en_ng_002
0ws3dc75	r01	participant_en_ng_002	participant_en_ng_029
0ws3dc75	r02	participant_en_ng_029	participant_en_ng_002
0ws3dc75	r03	participant_en_ng_002	participant_en_ng_029
0ws3dc75	r04	participant_en_ng_029	participant_en_ng_002
0znoh0nk	r00	participant_en_ng_001	participant_en_ng_002
0znoh0nk	r01	participant_en_ng_002	participant_en_ng_001
0znoh0nk	r02	participant_en_ng_001	participant_en_ng_002
0znoh0nk	r03	participant_en_ng_002	participant_en_ng_001
1fyxx5im	r00	participant_en_ng_038	participant_en_ng_021
1qy6rzn9	r00	participant_en_ng_033	participant_en_ng_011
1qy6rzn9	r01	participant_en_ng_011	participant_en_ng_033
1qy6rzn9	r02	participant_en_ng_033	participant_en_ng_011
1qy6rzn9	r03	participant_en_ng_011	participant_en_ng_033
1qy6rzn9	r04	participant_en_ng_033	participant_en_ng_011
20y5iewb	r00	participant_en_ng_023	participant_en_ng_027
20y5iewb	r02	participant_en_ng_023	participant_en_ng_027
20y5iewb	r03	participant_en_ng_027	participant_en_ng_023
20y5iewb	r04	participant_en_ng_023	participant_en_ng_027
23t73nau	r02	participant_en_ng_034	participant_en_ng_004
23t73nau	r03	participant_en_ng_004	participant_en_ng_034
2qunzz99	r01	participant_en_ng_007	participant_en_ng_021
2w6m5k85	r01	participant_en_ng_013	participant_en_ng_033
