clip_identifier	TranscriptId	transcript	start_timestamp_ms	end_timestamp_ms	speaker_id	match_id	round
03hxmcfy_r00_s1_p000	transid-d55b8e10279e6ede-001669748662349		470	1485	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-ee3ecab64ef9c1e8-001669748662977	but sweet.	1505	2360	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-37c64087edc5f2a3-001669748663556	Okay.	2475	3080	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-f06365d00ab16b94-001669748664320	"So, you're gonna describe"	4008	5440	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-ed96d07162ad8dfa-001669748664685		4617	5455	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-785876985ffb4c04-001669748665210	I'm describing this image.	7117	8815	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-7287837fe491af76-001669748666117	Yep.	8677	9320	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-46987c6a40b554a4-001669748666439	"Uh, without like giving it away what it is."	10645	12925	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-a9a0a888fdfe5c28-001669748666691	"Well, just describe exactly what you see and I'll try to I'll find a match."	13690	18470	Speaker0	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-55386c427f1ed41f-001669748667321	Okay.	19315	20130	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-46987c6a40b55ecc-001669748668027	"Uh, I see brick paving or sidewalk with a green hedge right behind it."	20430	27320	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-1698652e9006ecf9-001669748668514	"Right behind the green hedge, it's like a"	27977	30222	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-1698652e9006e41c-001669748669131	spiky metal fence with	30720	33000	Speaker1	03hxmcfy	r00
03hxmcfy_r00_s1_p000	transid-7287837fe491a50b-001669748669425	Yeah.	32000	32845	Speaker0	03hxmcfy	r00
